acceleration, steering_angle
10.000000,1.191053
-6.577172,-1.500000
-10.000000,1.500000
10.000000,1.500000
10.000000,1.500000
5.962316,1.500000
8.599582,1.500000
-8.174529,-1.500000
-0.053384,1.500000
-9.782308,-1.500000
-10.000000,1.500000
-7.771566,1.500000
10.000000,1.500000
10.000000,1.500000
10.000000,1.500000
6.273079,1.500000
-1.433453,-1.500000
