acceleration, steering_angle
3.086202,-1.500000
3.700382,-1.500000
4.366406,-1.500000
5.083293,0.605138
2.157126,1.500000
0.881925,1.500000
0.247420,1.500000
-0.283479,1.500000
-0.677645,1.500000
-0.920185,1.500000
-1.006647,1.500000
-0.941741,1.500000
-0.736877,1.500000
-0.407252,0.520914
-0.522756,-1.162654
-0.788683,0.219719
-0.753961,-0.614741
-0.762423,0.392780
-0.676416,-0.648784
-0.673124,0.500076
-0.615311,-0.644815
-0.608462,0.544448
-0.571183,-0.619130
-0.561579,0.555332
-0.534865,-0.591752
-0.523224,0.551364
-0.502072,-0.567475
-0.489380,0.540928
-0.471501,-0.546224
-0.458516,0.527694
-0.442780,-0.527212
-0.429969,0.513346
-0.415771,-0.509790
-0.403395,0.498688
-0.390390,-0.493533
-0.378576,0.484119
-0.366554,-0.478177
-0.355358,0.469838
-0.344181,-0.463559
-0.333614,0.455943
-0.323188,-0.449574
-0.313239,0.442477
-0.303492,-0.436156
-0.294139,0.429456
-0.295601,-0.381366
-0.402526,0.447290
-0.386919,-0.314148
-0.408780,0.452965
-0.288836,-0.334545
-0.355846,0.464083
-0.247060,-0.279553
-0.340346,0.470312
-0.195071,-0.142889
-0.416272,0.450881
-0.222717,0.112444
-0.295832,0.473401
0.015325,-0.208056
-0.198244,-1.500000
-0.103877,-1.500000
0.154431,-1.500000
0.450992,-1.500000
-4.265101,-1.500000
-6.557392,-1.500000
-5.290563,-1.500000
